HydroCode,OBJECTID,BoreID,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,MajorLithCode,MinorLithCode,Description,Source,LogType,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Latitude,longitude
GW012783.1.1,118607,10028081,265.23,NGS,6.71,7.01,258.52,258.22,SAND,,Sand gravel wet,NSW Hydstra,1,,,,,,,,,-30.9787,150.27
GW035274.1.1,284950,10051327,287.17,NGS,0.0,1.22,287.17,285.95,SOIL,,Soil black sandy,NSW Hydstra,1,,,,,,,,,-30.924,150.45
GW029957.1.1,238907,10045329,185.25,NGS,28.34,34.13,156.91,151.12,CLAY,,Clay sandy gravel,NSW Hydstra,1,,,,,,,,,-30.1673,149.326
GW966858.1.1,812628,10148434,499.6,NGS,38.1,39.62,461.5,459.98,WB,,Water bearing,NSW Hydstra,1,,,,,,,,,-31.0897,150.987
GW013959.1.1,124021,10029250,395.31,NGS,17.98,18.29,377.33,377.02,BSLT,,Basalt,NSW Hydstra,1,,,,,,,,,-31.2768,150.642
GW025341.3.1,205600,10040674,200,NGS,22.86,25.91,177.14,174.09,CLAY,,Clay light brown white,NSW Hydstra,1,,,,,,,,,-30.2968,149.478
GW071536.1.1,475168,10084477,151,NGS,76.5,79.25,74.5,71.75,SAND,,Sand brown,NSW Hydstra,1,,,,,,,,,-29.977,148.748
GW030049.1.1,241025,10045480,243.0,NGS,52.73,56.39,190.27,186.61,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.702,150.104
GW032629.1.1,273334,10048721,461.69,NGS,6.1,22.86,455.59,438.83,SHLE,,Shale grey,NSW Hydstra,1,,,,,,,,,-31.1965,150.9
GW900804.1.1,789681,10144538,220.7,NGS,12.0,15.0,208.7,205.7,UNKN,,Gravel,NSW Hydstra,1,,,,,,,,,-30.3526,149.818
GW070490.1.1,471055,10083546,190.31,NGS,0.0,1.82,190.31,188.49,UNKN,,Topsoil,NSW Hydstra,1,,,,,,,,,-30.2347,149.43
GW969989.1.1,834110,10151619,392.16,NGS,29.0,31.0,363.16,361.16,BSLT,,"Basalt, porous, orange/brown, weathered",NSW Hydstra,1,,,,,,,,,-30.7213,150.395
GW965831.1.1,809163,10147405,307.36,NGS,45.2,47.8,262.16,259.56,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.8239,150.35
GW023807.1.1,191784,10039117,182.78,NGS,25.29,29.56,157.49,153.22,CLAY,,Clay gravel,NSW Hydstra,1,,,,,,,,,-30.2195,149.301
GW030307.1.1,251314,10046095,279.5,NGS,0.0,2.14,279.5,277.36,CLAY,,"Clay; dark orangey brown, silty, coarse sandy & fine gravelly, angular, jasper, smokey & rose quartz & ironstone",L Drury - WC&IC,2,,,,,,,,,-30.9784,150.457
GW968220.1.1,821787,10149830,202.93,NGS,43.6,45.1,159.33,157.83,SAND,,"Sand, brown, very fine",NSW Hydstra,1,,,,,,,,,-30.2361,149.612
GW036593.1.1,311695,10053451,303.0,NGS,24.0,25.0,279.0,278.0,SAND,,Sand claybound gravel,NSW Hydstra,1,,,,,,,,,-31.1486,149.901
GW050266.1.1,388174,10065479,407.59,NGS,0.0,0.9,407.59,406.69,SOIL,,Soil surface,NSW Hydstra,1,,,,,,,,,-31.5151,150.698
GW017492.1.1,148457,10032762,133.55,NGS,62.48,63.4,71.07,70.15,SAND,,Sand,NSW Hydstra,1,,,,,,,,,-30.0684,148.15
