Description,Extracted
sandstone,sandstone
sandstonewhite,sandstone
shalegrey,shale
shale,shale
coalseams,coal
sandstone,sandstone
shale,shale
rock,rock
shalesandstone,shale sandstone
rock,rock
sandstonegreen,sandstone
sandstone,sandstone
shale,shale
sandstone,sandstone
shalegrey,shale
sandstone,sandstone
sandrockwhite,sand rock
shale,shale
sandstonewhite,sandstone
shaleblack,shale
sandstonewhiteshalewatersupply,water shale sandstone
shaleblack,shale
sandstone,sandstone
claycement,cement clay
sandstonewhite,sandstone
sandstoneshale,shale sandstone
sandstonewhiteyellowgrey,rhyolite sandstone
clay,clay
rock,rock
shalewatersupply,water shale
rocksandy,sand rock
rockhard,rock
rockgreenwatersupply,water rock
rock,rock
rockhard,rock
shalesandstoneseams,shale sandstone
shale,shale
sandstone,sandstone
sandstonewatersupply,water sandstone
sandstonehard,sandstone
claygritty,clay
drift,drift
shale,shale
shaleblack,shale
slipperyback,
clayshale,shale clay
driftrising,drift
sandstone,sandstone
shaleblack,shale
shale,shale
gravelcoarse,gravel
rocksoftwatersupply,water rock
clay,clay
stonesyellowgravelcoarse,gravel stones
rockblackhard,rock
rockblackhard,rock
rockblackhardfine,rock
sandstonebasaltbands,sand basalt sandstone
basaltblacksandstonebands,basalt sandstone
rockblackgreyrotten,rock
rockhoneycombwatersupply,water rock
rockblackhard,rock
sandblacksomehardrockwatersupply,sand water rock
rockblackhard,rock
rockyellow,rock
rockdarkgreyhardfine,rock
limestonewhite,limestone
sandstonegrey,sandstone
shale,shale
rockgreen,rock
rockhard,rock
sandstone,sandstone
shale,shale
sandstonewhite,sandstone
shale,shale
shale,shale
clayyellow,clay
shale,shale
sandstonegreenrock,rock sandstone
clayred,clay
sandstonewhite,sandstone
sandstonegreen,sandstone
sandstone,sandstone
clayred,clay
limestone,limestone
sandstonewatersupply,water sandstone
shale,shale
shalehardbands,shale
shalesandyhardbands,sand shale
sandstone,sandstone
sandstone,sandstone
shale,shale
drift,drift
shalepuggy,shale
claysandy,sand clay
clay,clay
drift,drift
aquiferwatersupply,water
shalesandy,sand shale
sandstone,sandstone
shaleverypuggy,shale
driftgravel,gravel drift
shale,shale
shaleswellingdrift,shale drift
shaleverypuggysomehardbands,shale
clayboulder,boulders clay
rockseams,rock
shale,shale
clayyellowsandstone,sandstone clay
gravel,gravel
shalehard,shale
sandstonegreenwatersupply,water sandstone
shalehard,shale
sandstone,sandstone
rockhard,rock
gravelwatersupply,gravel water
shale,shale
gravelsanddrift,gravel sand drift
clayyellowsandstone,sandstone clay
sandstone,sandstone
sandstoneyellow,sandstone
claysurface,clay
rockgravel,gravel rock
coalsmallseams,coal
gravel,gravel
rockhardgravel,gravel rock
claysurface,clay
sandrockwhite,sand rock
sandstone,sandstone
rockhard,rock
gravel,gravel
sandrockwhitewatersupply,sand water rock
gravelhardsandstone,gravel sandstone
sandstone,sandstone
coalseams,coal
sandstonewhite,sandstone
sandstone,sandstone
sandstoneveryhard,sandstone
clayswelling,clay
sandgravel,gravel sand
sand,sand
sandstone,sandstone
shalesandy,sand shale
sandstone,sandstone
sandgravel,gravel sand
rock,rock
shalehardbands,shale
claysandy,sand clay
driller,diorite
shalesandywatersupply,sand water shale
shale,shale
shale,shale
sandclay,sand clay
shalesandy,sand shale
sandstonegreyhard,sandstone
sandstoneyellow,sandstone
sandrockyellow,sand rock
rockgreen,rock
rockgreenhard,rock
sandstonered,sandstone
rock,rock
rockreddish,rock
rockgreen,rock
gravelrock,gravel rock
sandrockgreen,sand rock
sandstonegreyyellowsoak,sandstone
claygravel,gravel clay
shale,shale
shale,shale
boulders,boulders
shalehardbands,shale
sandstonewatersupply,water sandstone
clay,clay
sandstone,sandstone
shale,shale
sandstonewatersupply,water sandstone
sandstoneyellowwatersupply,water sandstone
sandstoneclayeyswelling,sandstone clay
sandstonerotten,sandstone stones
claysandy,sand clay
sandyellow,sand
claysandrock,sand rock clay
drift,drift
driftwatersupply,water drift
claycement,cement clay
drift,drift
clay,clay
claysandywatersupply,sand water clay
clayyellowsandy,sand clay
sandrockyellow,sand rock
sandstonegreygrey,sandstone
shalereddish,shale
shale,shale
shale,shale
coalseams,coal
sandstonegreywatersupply,water sandstone
driller,diorite
sandstone,sandstone
sandstonegrey,sandstone
sandstonegrey,sandstone
sandstonegrey,sandstone
shale,shale
shalereddish,shale
sandstonegrey,sandstone
rockyellowbroken,rock
sandrockgrey,sand rock
rockhard,rock
sandrockgreyhard,sand rock
shale,shale
sandstonegrey,sandstone
sandstonegrey,sandstone
shale,shale
sandstoneyellowwatersupply,water sandstone
shalegrey,shale
slipperybackyellow,
shalegreyhard,shale
stonesgravelwatersupply,gravel water stones
sandgravel,gravel sand
sandstoneyellow,sandstone
rocksandywatersupply,sand water rock
claysandywatersupply,sand water clay
shalesandywatersupply,sand water shale
shale,shale
clayblack,clay
basalt,basalt
shalesandy,sand shale
shale,shale
rockgreenveryhardquartz,quartz rock
sandrockyellow,sand rock
rockgreenwatersupply,water rock
sandstoneyellow,sandstone
sandrockyellow,sand rock
sandstonehardcemented,sandstone cement
shale,shale
sandrockwhiteblackgreyhard,sand rock
basalt,basalt
shaleblack,shale
clayred,clay
basalt,basalt
sandrockgrey,sand rock
sandrockgrey,sand rock
rockhardbasaltic,basalt rock
shale,shale
sandrock,sand rock
claysandstonebands,sand sandstone clay
sandstonegreycoal,coal sandstone
sandstonegrey,sandstone
shale,shale
conglomeratehard,conglomerate
shale,shale
clayyellow,clay
sandstonewhite,sandstone
clay,clay
sandstonegrey,sandstone
shale,shale
rockgrey,rock
coalsmallseams,coal
rockgrey,rock
sandstonewhitegrey,sandstone
sandrock,sand rock
sandstonegrey,sandstone
sandrockwhite,sand rock
sandrock,sand rock
shalesmallcoalseams,shale coal
clayrock,rock clay
shaleseams,shale
shalegrey,shale
clayyellowsandstonebands,sandstone clay
shale,shale
shaleblack,shale
shaleblack,shale
rockblackwatersupply,water rock
sandrockwhite,sand rock
sandrockgrey,sand rock
shale,shale
clay,clay
claysandstone,sandstone clay
sandstone,sandstone
sandstonewatersupply,water sandstone
drift,drift
shalesandy,sand shale
sandrockgreywatersupply,sand water rock
claysandy,sand clay
shalegrey,shale
claysandy,sand clay
pipeclay,clay
driftwatersupply,water drift
sandrockgrey,sand rock
claysticky,clay
shalesticky,shale
clay,clay
sandstonewatersupply,water sandstone
shale,shale
basaltboulder,basalt boulders
claysandy,sand clay
sandrockwatersupply,sand water rock
sandrockwhite,sand rock
sandrockhard,sand rock
driller,diorite
clayyellow,clay
sandstoneclay,sandstone clay
lateriteclay,laterite clay
claysandy,sand clay
sandrock,sand rock
claysandy,sand clay
pipeclaysticky,clay
clayyellow,clay
sandrock,sand rock
sanddryloosewatersupply,sand water
sanddrift,sand drift
sandrotten,sand stones
rotten,stones
sand,sand
sand,sand
sandrunning,sand
rockblackhard,rock
sandrockcream,sand rock
shale,shale
sandgravel,gravel sand
sandstoneyellow,sandstone
shale,shale
sandstoneyellow,sandstone
sandstoneyellow,sandstone
gravelsandywatersupply,gravel water sand
stoneswhitewaterworn,water stones
sandstoneyellow,sandstone
pugyellow,
ironstonebands,sand ironstone
clayyellow,clay
gravelwatersupply,gravel water
sandstoneyellow,sandstone
shaleblack,shale
shale,shale
shale,shale
shalehard,shale
driftgravel,gravel drift
pipeclay,clay
shale,shale
sandstonewatersupply,water sandstone
driller,diorite
drift,drift
clay,clay
shale,shale
gravel,gravel
shalehard,shale
gravel,gravel
clayyellow,clay
formationstratasandy,sand
sandgravel,gravel sand
shalewatersupply,water shale
sandstoneyellow,sandstone
sandstoneyellow,sandstone
sandstonegrey,sandstone
sandstoneyellow,sandstone
shale,shale
sandstoneyellow,sandstone
sandstoneyellow,sandstone
sandgravel,gravel sand
gravel,gravel
sandgravel,gravel sand
gravel,gravel
sandstonegrey,sandstone
gravelwatersupplyformationsandy,gravel water sand
sandgravelwatersupply,gravel water sand
shalesticky,shale
shalesandy,sand shale
shalegrey,shale
shalesticky,shale
shalegreyhard,shale
claysticky,clay
shalesandy,sand shale
sandrockveryhard,sand rock
shalecementwatersupply,water shale cement
shalesandy,sand shale
shalesticky,shale
shalegreysandy,sand shale
claysticky,clay
shale,shale
shalegrey,shale
clayyellow,clay
shalesticky,shale
clayredsandy,sand clay
shalesticky,shale
clay,clay
sandrockwatersupply,sand water rock
clay,clay
claysandy,sand clay
sandrockgrey,sand rock
shalegrey,shale
claygravel,gravel clay
gravel,gravel
sand,sand
shaleblack,shale
rockhardbands,rock
shalegrey,shale
claywatersupply,water clay
shale,shale
shalegrey,shale
shalegrey,shale
clayyellow,clay
shalegrey,shale
shalegrey,shale
shalegrey,shale
shalegreyhardbands,shale
shalepink,shale
rockhard,rock
shalegreygravel,gravel shale
gravelsand,gravel sand
rockhardbands,rock
rockbands,sand rock
slipperyback,
shalegrey,shale
claygravelsanddrift,gravel sand drift clay
shale,shale
shalegrey,shale
clayyellow,clay
rockblackwatersupply,water rock
rock,rock
stones,stones
sandstone,sandstone
stonesclay,stones clay
stones,stones
sandstoneyellow,sandstone
clayswelling,clay
rock,rock
sandgravel,gravel sand
claygravel,gravel clay
rockgravel,gravel rock
gravel,gravel
rock,rock
shalegrey,shale
shalestones,shale stones
shale,shale
rock,rock
sandstone,sandstone
clayyellow,clay
claysandstone,sandstone clay
shalegrey,shale
rockwatersupply,water rock
slipperyback,
sandstoneyellow,sandstone
clay,clay
shale,shale
claygravel,gravel clay
clayyellow,clay
clayred,clay
gravelwatersupply,gravel water
gravelred,gravel
clayredgravel,gravel clay
sand,sand
claystickygravel,gravel clay
shalesticky,shale
sandrockgrey,sand rock
clayyellowsandy,sand clay
sandrockwatersupply,sand water rock
clayyellowsandy,sand clay
sanddrift,sand drift
clayhard,clay
clayyellow,clay
sandstone,sandstone
shalelightsandy,sand shale
clayyellowsandy,sand clay
soilreddish,soil
sandstonehardwatersupply,water sandstone
sandpebblespebbly,sand pebbles
claysandypuggy,sand clay
sand,sand
clayyellow,clay
sanddrift,sand drift
claypuggysandy,sand clay
sandcoarsewatersupply,sand water
clayyellowsandy,sand clay
soilsandy,sand soil
claysandy,sand clay
clay,clay
sandclay,sand clay
rockredwatersupply,water rock
granite,granite
gravelclay,gravel clay
rockblack,rock
clayrock,rock clay
clayyellow,clay
sandpebblespebblycoarsewatersupply,sand water pebbles
sandstone,sandstone
clay,clay
sanddrift,sand drift
sandgravel,gravel sand
soilsandy,sand soil
claysandy,sand clay
sanddrift,sand drift
clay,clay
claysandy,sand clay
sandloose,sand
claypuggy,clay
sandpebblespebbly,sand pebbles
clayyellowsandy,sand clay
soilrusty,soil
clayyellow,clay
sandstone,sandstone
sandstonesomehardbandswatersupply,water sandstone
claygravel,gravel clay
limestone,limestone
rockgreen,rock
rockgreen,rock
sandrockred,sand rock
clay,clay
limestonewhite,limestone
coalwatersupply,water coal
coalwaterbearingshale,water coal shale
coal,coal
rockgreygreen,rock
rockgrey,rock
sandrockyellow,sand rock
rock,rock
rockgreygreenmixed,rock
rockgrey,rock
rockyellow,rock
conglomerategravelwatersupply,gravel water conglomerate
rockyellowhard,rock
shale,shale
shalegrey,shale
conglomerate,conglomerate
conglomerateveryhard,conglomerate
limestone,limestone
coalwaterbearing,water coal
gravel,gravel
coalshale,shale coal
claygravel,gravel clay
rockgrey,rock
granite,granite
conglomerate,conglomerate
shale,shale
shalegrey,shale
sandstonewhite,sandstone
sandstone,sandstone
shalegreen,shale
gravel,gravel
rock,rock
shalegrey,shale
coalwatersupply,water coal
slipperybackgreen,
shalegrey,shale
shale,shale
claygravel,gravel clay
coalwaterbearing,water coal
shalehard,shale
claygravel,gravel clay
rockgrey,rock
conglomerate,conglomerate
conglomerate,conglomerate
coal,coal
sandrockwhite,sand rock
rockyellow,rock
conglomerate,conglomerate
clay,clay
clayred,clay
gravelwatersupply,gravel water
shalegrey,shale
limestone,limestone
limestonewhite,limestone
shale,shale
coal,coal
rock,rock
shalegrey,shale
coal,coal
coal,coal
shalecoalwatersupply,water coal shale
shale,shale
rockyellow,rock
limestone,limestone
sandstoneyellow,sandstone
sandy,sand
sandstonewatersupply,water sandstone
shale,shale
redsandy,sand
sand,sand
clayyellow,clay
sandstone,sandstone
sandstonered,sandstone
clay,clay
coal,coal
sandstonerotten,sandstone stones
gravelredrockbands,gravel rock
gravel,gravel
rock,rock
sandstoneyellow,sandstone
claygravel,gravel clay
gravelred,gravel
sandstonegravel,gravel sandstone
sandstoneyellow,sandstone
sandstonesmallcoalseamswatersupply,water coal sandstone
sandstone,sandstone
shalesticky,shale
shalegreysticky,shale
shalegreysandy,sand shale
shalesticky,shale
shalegreyclayseamscoal,shale coal clay
sandrock,sand rock
sandrockwatersupply,sand water rock
shale,shale
claysandy,sand clay
shalegrey,shale
shalegrey,shale
shalegreyhard,shale
shalegrey,shale
shalegrey,shale
sandrock,sand rock
shale,shale
claysticky,clay
shalesandy,sand shale
shalegreysticky,shale
shalegrey,shale
sandrockwatersupply,sand water rock
shalegrey,shale
shalegreyhard,shale
shalegreyhard,shale
shalegreysandrock,sand rock shale
claysticky,clay
shalegrey,shale
gravel,gravel
sandstoneyellow,sandstone
claygravel,gravel clay
sandstonegravel,gravel sandstone
coal,coal
coalshale,shale coal
conglomeratewatersupply,water conglomerate
conglomerate,conglomerate
sandstone,sandstone
sandstoneyellow,sandstone
limestone,limestone
conglomeratehard,conglomerate
rockyellow,rock
claygravel,gravel clay
driller,diorite
ironstonewatersupply,water ironstone
rockgrey,rock
rockred,rock
sandstone,sandstone
shalelightwatersupply,water shale
sandstonewhite,sandstone
shaleyellow,shale
clay,clay
sandstoneyellow,sandstone
clayyellow,clay
conglomerate,conglomerate
shale,shale
sandstone,sandstone
coalshalewatersupply,water coal shale
shaleslipperybackgreenseams,shale
rockgreencemented,rock cement
sandstone,sandstone
rockslate,rock slate
slipperyback,
sandstone,sandstone
coalwaterbearing,water coal
rockgreen,rock
gravelsandstone,gravel sandstone
rock,rock
sandstoneyellow,sandstone
shale,shale
limestone,limestone
rockrotten,rock stones
rockgreen,rock
gravel,gravel
shale,shale
shale,shale
shale,shale
sandgravelwatersupply,gravel water sand
claysandy,sand clay
clayslippery,clay
shale,shale
clay,clay
shale,shale
clay,clay
shalegreywatersupply,water shale
shale,shale
rockgreen,rock
rockgrey,rock
coal,coal
conglomerate,conglomerate
rock,rock
rockgreen,rock
sandstoneyellow,sandstone
claygravel,gravel clay
conglomeratewatersupply,water conglomerate
rockgreenhard,rock
rock,rock
shalehard,shale
sandstonewatersupply,water sandstone
shalegrey,shale
shale,shale
shalesandstone,shale sandstone
shale,shale
clayyellow,clay
shale,shale
sandstone,sandstone
shale,shale
shalewhitesandy,sand shale
clayblackshalewatersupply,water shale clay
sandstonewatersupply,water sandstone
claywhitestiff,clay
shalesandy,sand shale
shale,shale
shale,shale
sandstonesoft,sandstone
shalewhitesandy,sand shale
shaleblack,shale
shalesandy,sand shale
claysandy,sand clay
shale,shale
shaledarkbrown,shale
sandstonehard,sandstone
shalesandylight,sand shale
shaleblackpuggy,shale
shalesandy,sand shale
sandstonewhite,sandstone
shale,shale
clayblackshale,shale clay
shalesandy,sand shale
shalesandy,sand shale
shale,shale
gravelsand,gravel sand
shalesandy,sand shale
sandstoneporous,sandstone
clayblackshale,shale clay
shale,shale
shaledarkbrown,shale
shale,shale
shalesandy,sand shale
shalesandy,sand shale
shalegreyhard,shale
shaleblack,shale
shalehard,shale
sandstone,sandstone
sandstonegrey,sandstone
rockgrey,rock
claysandstone,sandstone clay
shalegrey,shale
shale,shale
shaleblackwatersupply,water shale
shale,shale
rockhard,rock
clay,clay
shalegrey,shale
sandstonewhitewatersupply,water sandstone
clayyellowsticky,clay
sandrockwatersupply,sand water rock
shalegrey,shale
clayyellow,clay
sanddriftwatersupply,sand water drift
claysticky,clay
sandrockgrey,sand rock
shalegrey,shale
clayyellow,clay
sandrock,sand rock
clayyellow,clay
sandrockwatersupply,sand water rock
sandrockgrey,sand rock
rockgreyhard,rock
sandstoneyellow,sandstone
rock,rock
sandstoneyellowhard,sandstone
sandstonegreywatersupply,water sandstone
shalegrey,shale
shalegrey,shale
rockgrey,rock
granite,granite
sandstoneyellow,sandstone
shalegrey,shale
shale,shale
sandstonewhite,sandstone
shaleblack,shale
clayyellowloam,loam clay
shalegrey,shale
shalegrey,shale
shalegreysandstonebands,shale sandstone
sandstonewhitewatersupply,water sandstone
rockgrey,rock
clayyellow,clay
shalegrey,shale
shalegrey,shale
shalegrey,shale
sandstonegrey,sandstone
shalegreysandstonebands,shale sandstone
slipperybackwhite,
sandstoneyellow,sandstone
sandstone,sandstone
shalelightgrey,shale
conglomeraterockwatersupply,water rock conglomerate
slate,slate
limestonebroken,limestone
sandstone,sandstone
shalegrey,shale
shalegrey,shale
shale,shale
sandstone,sandstone
sandstonegrey,sandstone
shalegrey,shale
rock,rock
rockgrey,rock
rockgrey,rock
shale,shale
sandcoarsewatersupply,sand water
clayred,clay
gravelloose,gravel
claysandy,sand clay
clayyellow,clay
sandcoarsewatersupply,sand water
soilred,soil
clayyellow,clay
sanddrift,sand drift
clayyellow,clay
clayred,clay
clayyellow,clay
sandstonegravel,gravel sandstone
sandstone,sandstone
soilred,soil
claysandy,sand clay
sandwatersupply,sand water
sandstone,sandstone
clayred,clay
