Description,Extracted
sandrock,sand rock
clayyellow,clay
claysandy,sand clay
shale,shale
claysandy,sand clay
shale,shale
shalegrey,shale
sandgravel,gravel sand
shale,shale
sandgravel,gravel sand
shale,shale
shale,shale
shale,shale
shale,shale
shalegreyhard,shale
shalesomehard,shale
shalegrey,shale
clayyellow,clay
sandstonewatersupply,water sandstone
sandstonewaterbearingwatersupply,water sandstone
clayredgravel,gravel clay
pipeclaygrittywatersupply,water clay
claygritty,clay
shalewatersupply,water shale
sandstonefine,sandstone
claygritty,clay
claygritty,clay
sandrockwatersupply,sand water rock
claysticky,clay
clayred,clay
sandstone,sandstone
claywhitesticky,clay
shalegreysandywatersupply,sand water shale
sandwatersupply,sand water
shale,shale
claygritty,clay
shaleblackcoalseams,shale coal
sandstonewatersupply,water sandstone
shaleblackwhite,shale
subsoil,soil
claystones,claystone
rubbledriftwatersupply,water drift
clay,clay
sandstonewatersupply,water sandstone
claywatersupply,water clay
sand,sand
shalegreysandy,sand shale
driller,diorite
sandstone,sandstone
sandstone,sandstone
shalesandy,sand shale
clayyellowsticky,clay
shalegreysandy,sand shale
shale,shale
shalesandy,sand shale
slipperybackwatersupply,water
sandstonewatersupply,water sandstone
claygrittysandstonebands,sandstone clay
sandstone,sandstone
pipeclay,clay
sand,sand
clay,clay
shale,shale
shalesandy,sand shale
clay,clay
clayred,clay
shale,shale
clayyellow,clay
clayyellow,clay
shalesandy,sand shale
sandstonewatersupply,water sandstone
shalegrey,shale
rock,rock
sandcoarse,sand
soilsurface,soil
shale,shale
rockhard,rock
rock,rock
shale,shale
clayredwaterbearing,water clay
sandstonewatersupply,water sandstone
rockred,rock
shale,shale
shalewatersupply,water shale
rock,rock
clayredgravel,gravel clay
rock,rock
shalegrey,shale
sandstonewatersupply,water sandstone
claygritty,clay
sandstone,sandstone
sandstonewatersupply,water sandstone
shale,shale
claystiff,clay
clayyellowsticky,clay
shale,shale
sandstone,sandstone
sandwatersupply,sand water
shalegreyhardstreaks,shale
shalehard,shale
shale,shale
shalesandy,sand shale
shalesandy,sand shale
driller,diorite
pipeclay,clay
shalesandysomesand,sand shale
shale,shale
shalesandysomesandwatersupply,sand water shale
shalegreyhard,shale
shalesandy,sand shale
granite,granite
clay,clay
rockgranitic,rock
sandstonewatersupply,water sandstone
claystiff,clay
sandstonewatersupply,water sandstone
sandstonewatersupply,water sandstone
driller,diorite
sandstonered,sandstone
claygritty,clay
sandstone,sandstone
sandstonewatersupply,water sandstone
driller,diorite
claystiff,clay
sandrock,sand rock
sandstonewatersupply,water sandstone
clayyellow,clay
driller,diorite
clayyellow,clay
sandstonewatersupply,water sandstone
sandstone,sandstone
shale,shale
shale,shale
shaleblack,shale
clay,clay
shale,shale
driller,diorite
sandstonewatersupply,water sandstone
sandstonewatersupply,water sandstone
sandstonewatersupply,water sandstone
shalewhiteveryhardsandy,sand shale
sandstonehard,sandstone
clay,clay
shalewatersupply,water shale
drift,drift
sandstone,sandstone
shale,shale
shale,shale
shalegrey,shale
shalewhitesandyhard,sand shale
driftfine,drift
sandstonewatersupply,water sandstone
shalesoft,shale
sandstone,sandstone
clay,clay
sandstonewatersupply,water sandstone
driller,diorite
sandrunning,sand
sandstonewatersupply,water sandstone
sandstone,sandstone
claygritty,clay
claystoney,claystone
sandrunning,sand
driller,diorite
claygritty,clay
granite,granite
rock,rock
coalshale,shale coal
shalegrey,shale
claywhitegravel,gravel clay
